EmployeeIndex	Attrition_Probability
0	0.87658167
1	0.013967756
2	0.8094814
3	0.47565508
4	0.1495849
5	0.03065384
6	0.10316874
7	0.26306707
8	0.018264748
9	0.017499683
10	0.025855316
11	0.026568303
12	0.04880933
13	0.039984193
14	0.96027464
15	0.028164342
16	0.021704024
17	0.41134077
18	0.040260147
19	0.03922534
20	0.030597383
21	0.8113146
22	0.019962378
23	0.07518046
24	0.15472035
25	0.0155598475
26	0.97124386
27	0.04680852
28	0.021418218
29	0.15288857
30	0.17177318
31	0.0068261917
32	0.04626389
33	0.6238788
34	0.84890914
35	0.0029508083
36	0.7047853
37	0.09142418
38	0.09335248
39	0.031707868
40	0.113940194
41	0.12040382
42	0.98130494
43	0.044325113
44	0.031415198
45	0.058081616
46	0.28862277
47	0.3096467
48	0.087097965
49	0.027596874
50	0.8702307
51	0.9577812
52	0.114178196
53	0.05422767
54	0.23398969
55	0.08998122
56	0.13012497
57	0.08165362
58	0.014936124
59	0.00751738
60	0.018406661
61	0.036950268
62	0.056395337
63	0.109893814
64	0.011930307
65	0.010801786
66	0.26837575
67	0.019952519
68	0.04248694
69	0.17431855
70	0.29529935
71	0.002203826
72	0.11342024
73	0.009237258
74	0.046681643
75	0.013918567
76	0.05671299
77	0.009867935
78	0.02285353
79	0.12349537
80	0.04080626
81	0.04037594
82	0.083230995
83	0.045164723
84	0.046481878
85	0.033627458
86	0.5138302
87	0.016609674
88	0.0064146435
89	0.6859674
90	0.01520113
91	0.105206594
92	0.09554677
93	0.06634941
94	0.06535727
95	0.015439129
96	0.06996875
97	0.10639265
98	0.06024079
99	0.041353073
100	0.9037996
101	0.019222924
102	0.9592256
103	0.007851282
104	0.0651244
105	0.02039044
106	0.09713032
107	0.8189594
108	0.012501291
109	0.63159126
110	0.03487307
111	0.87704736
112	0.08812576
113	0.03449564
114	0.03312949
115	0.045048967
116	0.011253486
117	0.09683767
118	0.21987383
119	0.019334957
120	0.07422593
121	0.092799544
122	0.08844364
123	0.05840993
124	0.951723
125	0.1469727
126	0.018586898
127	0.9928444
128	0.035977326
129	0.12602298
130	0.04819687
