Actual_FutureSalary_PerformanceBased,Predicted_FutureSalary_PerformanceBased
8763.82,6326.015474279651
4641.18,5224.8702569252455
1663.79,2495.5738130928535
10517.59,6146.042313993006
6640.9,5583.613493800672
2831.69,2799.0532806346073
4283.84,3719.513259571153
2287.88,3200.133766683831
9172.71,8979.205071939297
2256.44,2622.0039706961666
3469.74,3034.189012692151
10562.42,10457.776635887545
6365.29,5775.292000464916
2430.5,4253.766644462734
3454.53,3145.8114460817665
5114.79,4123.496997571832
6674.3,5524.869328894601
2795.83,2221.515476648078
11905.52,9986.94706119036
17497.55,15398.29543319445
3737.84,3209.6399487755325
5492.54,5842.786618384443
9675.22,7607.699588945178
6054.48,5845.4968460471
6502.22,6335.238760130236
23098.02,25698.42078301285
2524.89,2959.523904484376
4470.53,5831.511363475596
3661.27,3821.8909000594513
6132.26,6560.385591269035
5549.4,5596.0049758356845
5452.13,5514.837209493647
4757.02,5475.521274398283
7839.04,7611.318210140531
6764.87,6885.104312071393
7830.56,7036.449168409327
15174.57,11761.264935399138
2171.68,2724.535126406477
3571.31,3482.6869883631734
3949.02,3229.790832896987
9484.26,7034.046019183566
5872.96,6425.2799680821845
4355.16,4356.292337744613
2899.56,3247.2348484559957
3029.63,2652.7031183033205
5501.61,6234.462985413991
9111.7,8695.990173040467
5510.09,6150.444174202731
7191.4,6801.808851887798
2110.34,2058.3629593771598
17764.55,16859.290024236387
5031.34,3872.776281663564
19651.13,23797.55187876688
6413.94,6832.378896261931
3323.66,4081.16217539884
5164.32,4346.247169427576
2969.04,4933.1377539055975
6801.21,6159.128558930682
6332.25,5593.520488195412
5242.51,5854.473713468315
10404.9,7818.489777872297
1475.76,1973.174324115993
7970.1,7218.188774629895
18982.31,16564.976070021334
5093.74,5593.424712497595
6251.7,5690.148302475069
6414.36,5917.176440013493
4846.64,4644.368798599301
3572.98,3440.8230504371704
18123.35,16091.169027384833
5332.88,6188.110226715939
19720.26,20056.28570954385
9886.54,7925.735878702222
4539.42,5288.705083911004
7220.87,5573.665925683243
16124.2,13703.536446382823
4797.07,6025.585865630015
7289.92,5777.834369625616
11111.61,9868.069407084688
13089.67,9779.804417824953
19212.65,19297.062695647823
6677.12,4865.98806600798
19597.11,19802.30128616806
2404.08,3487.2497486647276
8061.1,6939.609985054669
3427.54,3846.2402291202634
7431.72,7382.6606792636785
6121.87,5079.704736626851
5272.43,4912.32754982679
4216.4,4676.54860716548
6476.81,6120.989422278255
1238.31,2048.672699300345
14310.18,13930.270081486628
2553.05,2374.118352286363
7869.96,6513.596604291932
7555.27,7247.903146495332
8578.62,6526.441829429647
4655.4,5756.930773856705
4988.42,5894.771918580952
9729.58,8522.579527109241
20861.9,25568.616026320105
7822.03,6330.7525185188115
7736.61,7842.477850890053
2670.93,2433.300261991468
11637.66,7720.067110579164
9045.2,7929.367640379824
5454.45,5905.347235283844
4853.03,5493.402166296603
14386.7,13167.149322738955
19436.09,18318.81570120787
5808.63,6325.203881352997
6030.18,5571.371079918923
7556.25,6833.138086623003
10574.1,6405.972655369295
1959.32,2130.8051116939905
3766.74,4056.167682784337
5808.95,6988.151341602171
10302.23,7589.433412041845
16361.33,14326.84098459805
3873.38,4089.056969336586
2418.66,2583.9876070761175
9077.56,6072.454890859198
2930.27,2875.4511313211256
13946.81,11435.024199291118
6000.48,6963.106678742376
2672.09,2380.8526087831447
5485.45,5528.747026775746
12852.79,9367.447137086881
4547.23,6867.018610243821
7408.67,6823.376437371335
3929.41,3008.1990375355263
1628.7,2022.6347358757712
11001.15,12940.865895047544
4999.2,5035.814284672239
4917.78,3722.8436005663793
5830.49,5099.3448869810545
3291.64,3534.8905470222594
10298.01,6836.9667842739145
2857.2,2487.6473801170873
13918.92,11067.176483550767
2192.05,2824.0761043404846
8380.03,7659.209047006766
4719.23,5390.565971162991
9079.54,7761.385638551798
15276.68,10137.2623898147
2901.7,4076.2802041671066
5124.08,4934.5868603287745
2911.67,2588.80127201352
3064.63,2656.458085111591
6062.79,6554.293393795185
5978.91,6059.373598036356
10070.15,9421.593865553636
4580.77,4813.327110124512
4016.66,3145.8511730929376
6715.83,6343.888996358891
4311.64,3786.591981061356
8560.87,6802.70302504582
2657.07,3078.723603802164
21045.92,20334.650109559265
2598.64,3932.228017055363
5230.81,5642.211870384754
5486.22,6106.6076067552885
5671.16,6272.418829136281
2667.34,4350.2476692688315
4009.19,4665.473457419888
7762.05,6846.162420611163
2315.36,3440.9759346510805
4055.67,4402.391844590486
18633.19,16872.375976102037
8379.64,8312.370710219984
6242.6,5381.410435621537
16939.81,15718.781279309842
2762.42,3862.0188581376824
4036.8,3683.0482993354353
5177.46,4764.094208259544
2556.99,3427.2110437038705
5748.25,4634.175907390103
9666.94,6711.4528647562865
10936.81,10697.922574150849
4018.44,3228.7788612059126
13881.15,16224.264083580594
5871.94,5674.557453561133
20324.73,23293.543963793083
9019.13,6939.5241054243
8498.63,8140.352204543458
1798.24,1964.6408648368943
8598.17,7356.661489275187
11024.96,7539.158474244742
9897.36,6882.800265977205
3834.91,4612.971358168979
6904.65,5738.250748560722
7731.08,9668.103088509477
8486.41,6160.372807650861
5767.04,4965.345809317004
6611.78,5915.69596805161
2516.13,2872.6819197027917
2655.24,2981.791097669055
19457.08,19545.56938091572
5520.9,5030.757809575577
6892.67,6629.143305009427
4061.78,3746.3433000092227
5135.45,5848.282849662709
4791.58,5688.381732764031
20756.71,17235.745176400218
15250.53,14727.151772034911
2573.49,3596.9529765877146
9724.74,8335.73819445532
2767.46,3374.223726848601
3784.27,4155.652665919519
19851.15,25544.766411574412
10646.77,9409.707250864401
2413.12,2343.969093678867
4018.89,2735.491581099299
